charset,Shift_JIS
68,ベリル/笑い・怒り
69,ベリル/糸目

600,ベリル/糸目・困り
601,ベリル/糸目・怒り
602,ベリル/驚き
603,ベリル/半目
604,ベリル/半目・困り
605,ベリル/半目・怒り

620,ベリル・赤面/通常
621,ベリル・赤面/困り
622,ベリル・赤面/怒り
623,ベリル・赤面/目閉じ
624,ベリル・赤面/目閉じ・困り
625,ベリル・赤面/目閉じ・怒り
626,ベリル・赤面/笑い
627,ベリル・赤面/笑い・困り
628,ベリル・赤面/笑い・怒り
629,ベリル・赤面/糸目

630,ベリル・赤面/糸目・困り
631,ベリル・赤面/糸目・怒り
632,ベリル・赤面/驚き
633,ベリル・赤面/半目
634,ベリル・赤面/半目・困り
635,ベリル・赤面/半目・怒り


//バド

70,バド/通常
71,バド/困り
72,バド/怒り
73,バド/目閉じ
74,バド/目閉じ・困り
75,バド/目閉じ・怒り
76,バド/笑い
77,バド/笑い・困り
78,バド/笑い・怒り
79,バド/糸目

700,バド/糸目・困り
701,バド/糸目・怒り
702,バド/驚き


720,バド・赤面/通常
721,バド・赤面/困り
722,バド・赤面/怒り
723,バド・赤面/目閉じ
724,バド・赤面/目閉じ・困り
725,バド・赤面/目閉じ・怒り
726,バド・赤面/笑い
727,バド・赤面/笑い・困り
728,バド・赤面/笑い・怒り
729,バド・赤面/糸目

730,バド・赤面/糸目・困り
731,バド・赤面/糸目・怒り
732,バド・赤面/驚き

//白蛇

80,白蛇/通常
81,白蛇/困り
82,白蛇/怒り
83,白蛇/目閉じ
84,白蛇/目閉じ・困り
85,白蛇/目閉じ・怒り
86,白蛇/笑い
87,白蛇/笑い・困り
88,白蛇/笑い・怒り
89,白蛇/糸目

800,白蛇/糸目・困り
801,白蛇/糸目・怒り
802,白蛇/驚き
803,白蛇/片目閉じ
804,白蛇/片目閉じ・困り
805,白蛇/片目閉じ・笑い

820,白蛇・赤面/通常
821,白蛇・赤面/困り
822,白蛇・赤面/怒り
823,白蛇・赤面/目閉じ
824,白蛇・赤面/目閉じ・困り
825,白蛇・赤面/目閉じ・怒り
826,白蛇・赤面/笑い
827,白蛇・赤面/笑い・困り
828,白蛇・赤面/笑い・怒り
829,白蛇・赤面/糸目

830,白蛇・赤面/糸目・困り
831,白蛇・赤面/糸目・怒り
832,白蛇・赤面/驚き


910,でご・通常
911,でご・怒り
912,でご・困り
913,でご・びっくり
914,でご・照れ
